# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  4 14:25:57 2026
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN toi_created:    TOI Created Date
#
toi,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created
1000.01,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0,5.8181633,1.9105465,-1.9105465,0,10249.0000000,264.7000000,-264.7000000,0,2.1698600,0.0725729,-0.0725729,0,2019-07-24 15:58:33
1001.01,1.9316462,0.0000053,-0.0000053,0,3.1660000,0.6470000,-0.6470000,0,11.2154000,2.6242000,-2.6242000,0,7070.0000000,126.4000000,-126.4000000,0,2.0100000,0.0900000,-0.0900000,0,2019-07-24 15:58:33
1002.01,1.8675574,0.0000030,-0.0000030,0,1.4080000,0.1840000,-0.1840000,0,23.7529000,,,0,8924.0000000,124.0000000,-124.0000000,0,5.7300000,,,0,2019-07-24 15:58:33
1003.01,2.7432300,0.0010800,-0.0010800,0,3.1670000,0.6420000,-0.6420000,0,,,,0,5388.5000000,567.0000000,-567.0000000,0,,,,0,2019-07-24 15:58:33
1004.01,3.5730141,0.0000128,-0.0000128,0,3.3700000,1.0290000,-1.0290000,0,11.3113000,3.2471400,-3.2471400,0,9219.0000000,171.1000000,-171.1000000,0,2.1500000,0.0600000,-0.0600000,0,2019-07-24 15:58:33
1005.01,4.5505945,0.0000031,-0.0000031,0,2.6540000,0.3390000,-0.3390000,0,7.1084100,0.4746110,-0.4746110,0,5613.0000000,179.9000000,-179.9000000,0,1.0900000,0.0700000,-0.0700000,0,2019-07-24 15:58:33
1006.01,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0,8.6950898,8.4387660,-8.4387660,0,6616.0000000,200.0000000,-200.0000000,0,1.5342900,1.4887000,-1.4887000,0,2019-07-24 15:58:33
1007.01,6.9989206,0.0000137,-0.0000137,0,3.9530000,0.4370000,-0.4370000,0,14.7752000,0.7647050,-0.7647050,0,6596.0000000,139.2000000,-139.2000000,0,2.7000000,0.1300000,-0.1300000,0,2019-07-24 15:58:33
1008.01,2.0483755,0.0000055,-0.0000055,0,2.7670000,0.8610000,-0.8610000,0,3.1962100,,,0,6858.5000000,584.6000000,-584.6000000,0,1.5700000,,,0,2019-07-24 15:58:33
1009.01,1.9600277,0.0000025,-0.0000025,0,2.0065257,0.0505910,-0.0505910,0,,,,0,8868.7000000,809.8000000,-809.8000000,0,,,,0,2019-07-24 15:58:33
